t_ms,block,mass_g,flag,rpm,taps,servo_deg,dev_mg
29728,quiet_pre,-0.0169,S,0.0,0,0.0,2.2000000000000006
29822,quiet_pre,-0.0169,S,0.0,0,0.0,2.2000000000000006
29918,quiet_pre,-0.0169,S,0.0,0,0.0,2.2000000000000006
30014,quiet_pre,-0.0169,S,0.0,0,0.0,2.2000000000000006
30109,quiet_pre,-0.0169,S,0.0,0,0.0,2.2000000000000006
30205,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
30301,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
30397,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
30493,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
30589,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
30683,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
30779,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
30874,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
30970,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
31066,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
31162,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
31258,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
31354,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
31450,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
31544,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
31639,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
31735,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
31831,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
31927,quiet_pre,-0.017,S,0.0,0,0.0,2.099999999999998
32023,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
32119,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
32214,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
32310,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
32406,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
32500,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
32596,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
32692,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
32788,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
32884,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
32979,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
33075,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
33171,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
33267,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
33361,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
33456,quiet_pre,-0.0171,S,0.0,0,0.0,1.9999999999999982
33553,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
33648,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
33744,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
33840,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
33936,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
34032,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
34128,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
34221,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
34317,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
34413,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
34509,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
34605,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
34700,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
34796,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
34892,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
34988,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
35084,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
35178,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
35274,quiet_pre,-0.0172,S,0.0,0,0.0,1.899999999999999
35370,quiet_pre,-0.0173,S,0.0,0,0.0,1.7999999999999996
35465,quiet_pre,-0.0173,S,0.0,0,0.0,1.7999999999999996
35561,quiet_pre,-0.0173,S,0.0,0,0.0,1.7999999999999996
35662,quiet_pre,-0.0173,S,0.0,0,0.0,1.7999999999999996
35753,quiet_pre,-0.0173,S,0.0,0,0.0,1.7999999999999996
35849,quiet_pre,-0.0173,S,0.0,0,0.0,1.7999999999999996
35944,quiet_pre,-0.0173,S,0.0,0,0.0,1.7999999999999996
36037,quiet_pre,-0.0177,U,0.0,0,0.0,1.3999999999999986
36133,quiet_pre,-0.0178,U,0.0,0,0.0,1.2999999999999992
36229,quiet_pre,-0.0178,U,0.0,0,0.0,1.2999999999999992
36325,quiet_pre,-0.0179,U,0.0,0,0.0,1.1999999999999997
36421,quiet_pre,-0.0179,U,0.0,0,0.0,1.1999999999999997
36517,quiet_pre,-0.018,U,0.0,0,0.0,1.1000000000000003
36612,quiet_pre,-0.018,U,0.0,0,0.0,1.1000000000000003
36708,quiet_pre,-0.018,U,0.0,0,0.0,1.1000000000000003
36804,quiet_pre,-0.0181,U,0.0,0,0.0,0.9999999999999974
36898,quiet_pre,-0.0181,U,0.0,0,0.0,0.9999999999999974
36994,quiet_pre,-0.0181,S,0.0,0,0.0,0.9999999999999974
37090,quiet_pre,-0.0181,S,0.0,0,0.0,0.9999999999999974
37186,quiet_pre,-0.0181,S,0.0,0,0.0,0.9999999999999974
37281,quiet_pre,-0.0182,S,0.0,0,0.0,0.899999999999998
37377,quiet_pre,-0.0182,S,0.0,0,0.0,0.899999999999998
37473,quiet_pre,-0.0182,S,0.0,0,0.0,0.899999999999998
37569,quiet_pre,-0.0182,S,0.0,0,0.0,0.899999999999998
37665,quiet_pre,-0.0182,S,0.0,0,0.0,0.899999999999998
37761,quiet_pre,-0.0182,S,0.0,0,0.0,0.899999999999998
37854,quiet_pre,-0.0181,S,0.0,0,0.0,0.9999999999999974
37950,quiet_pre,-0.0181,S,0.0,0,0.0,0.9999999999999974
38046,quiet_pre,-0.0181,S,0.0,0,0.0,0.9999999999999974
38142,quiet_pre,-0.0181,S,0.0,0,0.0,0.9999999999999974
38238,quiet_pre,-0.0181,S,0.0,0,0.0,0.9999999999999974
38334,quiet_pre,-0.0181,S,0.0,0,0.0,0.9999999999999974
38430,quiet_pre,-0.0181,S,0.0,0,0.0,0.9999999999999974
38525,quiet_pre,-0.018,S,0.0,0,0.0,1.1000000000000003
38621,quiet_pre,-0.018,S,0.0,0,0.0,1.1000000000000003
