M,stream,scale-idle-v1
M,poll_hz,5.0
M,duration_s,1200.0
M,baud,19200
M,bits,8
M,parity,0
M,stop,1
M,response_timeout_ms,1000
E,8,stream start
S,204571,1.0361,S
S,204771,1.0361,S
S,204951,1.0361,S
S,205150,1.0361,S
S,205334,1.0361,S
S,205529,1.0361,S
S,205716,1.0361,S
S,205908,1.0361,S
S,206108,1.0361,S
S,206289,1.0361,S
S,206576,1.0361,S
S,206771,1.0361,S
S,206971,1.0361,S
S,207150,1.0361,S
S,207350,1.0361,S
S,207533,1.0361,S
S,207729,1.0362,S
S,207916,1.0362,S
S,208108,1.0362,S
S,208308,1.0362,S
S,208489,1.0362,S
S,208777,1.0362,S
S,208971,1.0362,S
S,209158,1.0362,S
S,209350,1.0362,S
S,209550,1.0362,S
S,209733,1.0362,S
S,209929,1.0362,S
S,210115,1.0362,S
S,210308,1.0362,S
S,210508,1.0362,S
S,210690,1.0362,S
S,210975,1.0362,S
S,211171,1.0362,S
S,211371,1.0362,S
S,211550,1.0362,S
S,211750,1.0362,S
S,211932,1.0362,S
S,212129,1.0362,S
S,212315,1.0362,S
S,212508,1.0362,S
S,212708,1.0362,S
S,212888,1.0362,S
S,213176,1.0362,S
S,213371,1.0362,S
S,213557,1.0362,S
S,213750,1.0362,S
S,213950,1.0362,S
S,214132,1.0362,S
S,214329,1.0362,S
S,214514,1.0362,S
S,214708,1.0362,S
S,214913,1.0362,S
S,215089,1.0362,S
S,215374,1.0362,S
S,215571,1.0362,S
S,215758,1.0362,S
S,215950,1.0362,S
S,216150,1.0362,S
S,216331,1.0362,S
S,216529,1.0362,S
S,216714,1.0362,S
S,216908,1.0362,S
S,217096,1.0362,S
S,217287,1.0362,S
S,217575,1.0362,S
S,217771,1.0362,S
S,217956,1.0362,S
S,218150,1.0362,S
S,218350,1.0362,S
S,218531,1.0362,S
S,218729,1.0362,S
S,218913,1.0362,S
S,219108,1.0362,S
S,219308,1.0362,S
S,219488,1.0362,S
S,219773,1.0362,S
S,219971,1.0362,S
S,220157,1.0362,S
S,220350,1.0362,S
S,220550,1.0362,S
S,220730,1.0362,S
S,220929,1.0362,S
S,221113,1.0362,S
S,221308,1.0362,S
S,221494,1.0362,S
S,221792,1.0362,S
S,221974,1.0362,S
S,222171,1.0362,S
S,222355,1.0362,S
S,222550,1.0362,S
S,222750,1.0362,S
S,222930,1.0362,S
S,223129,1.0362,S
S,223311,1.0362,S
S,223508,1.0362,S
S,223695,1.0362,S
S,223887,1.0362,S
S,224172,1.0362,S
S,224371,1.0361,S
S,224555,1.0361,S
S,224750,1.0361,S
S,224950,1.0361,S
S,225129,1.0361,S
S,225329,1.0361,S
S,225512,1.0361,S
S,225708,1.0361,S
